timestamp,emg_value
1734105728.8694878,510
1734105728.879505,495
1734105728.8896341,501
1734105728.8995538,501
1734105728.9097848,499
1734105728.919801,496
1734105728.9297252,491
1734105728.9395192,492
1734105728.94951,517
1734105728.9594939,494
1734105728.9695191,493
1734105728.9797845,496
1734105728.9898124,477
1734105728.999985,489
1734105729.0096333,490
1734105729.0196233,499
1734105729.0296404,492
1734105729.0396152,497
1734105729.0496533,489
1734105729.0597427,492
1734105729.0697007,496
1734105729.079712,496
1734105729.0897467,494
1734105729.099811,511
1734105729.1100273,493
1734105729.1198952,496
1734105729.1299024,503
1734105729.1399271,498
1734105729.1499093,499
1734105729.159999,505
1734105729.1700618,492
1734105729.1801212,499
1734105729.190121,505
1734105729.2000732,485
1734105729.210269,493
1734105729.2202048,501
1734105729.2301676,505
1734105729.2402706,492
1734105729.250337,493
1734105729.2604506,492
1734105729.270403,490
1734105729.2803934,489
1734105729.2905228,495
1734105729.3004715,506
1734105729.3103747,492
1734105729.3204336,489
1734105729.330458,500
1734105729.3404324,499
1734105729.3503845,496
1734105729.3604338,493
1734105729.3704414,496
1734105729.38033,494
1734105729.390462,492
1734105729.4005096,496
1734105729.4105701,506
1734105729.420529,494
1734105729.4305596,503
1734105729.4406002,490
1734105729.4506967,499
1734105729.460772,496
1734105729.4707298,504
1734105729.480657,494
1734105729.4907339,495
1734105729.5007775,496
1734105729.5108786,501
1734105729.5208926,497
1734105729.5308578,503
1734105729.5408008,505
1734105729.5509882,496
1734105729.560831,499
1734105729.5707338,500
1734105729.5807595,493
1734105729.5908468,503
1734105729.600884,491
1734105729.6108432,491
1734105729.62087,493
1734105729.6309218,505
1734105729.640926,494
1734105729.6509955,491
1734105729.6608944,514
1734105729.67069,501
1734105729.68082,490
1734105729.6907117,496
1734105729.7007587,492
1734105729.7107239,492
1734105729.7207634,500
1734105729.7309093,497
1734105729.7412827,491
1734105729.7512627,499
1734105729.7613375,498
1734105729.7711656,494
1734105729.781219,493
1734105729.791162,496
1734105729.801342,505
1734105729.8113859,492
1734105729.8214247,499
1734105729.8314335,491
1734105729.8410654,502
1734105729.851008,499
1734105729.861147,490
1734105729.8714118,498
1734105729.8813303,511
1734105729.8913648,494
1734105729.9014935,495
1734105729.911468,495
1734105729.9215603,501
1734105729.9314377,502
1734105729.9411836,491
1734105729.9512033,497
1734105729.961264,488
1734105729.9713888,495
1734105729.98148,509
1734105729.9913623,487
1734105730.001359,495
1734105730.0111134,489
1734105730.021313,493
1734105730.0315123,496
1734105730.041698,496
1734105730.0516891,492
1734105730.0617278,497
1734105730.0716677,502
1734105730.081643,492
1734105730.0917637,493
1734105730.1015902,492
1734105730.1116087,489
1734105730.1216326,488
1734105730.1316419,493
1734105730.1417418,493
1734105730.1516566,483
1734105730.1617603,491
1734105730.1717966,496
1734105730.1817334,492
1734105730.191842,494
1734105730.201826,507
1734105730.212015,485
